"","date","year","pollinator","block","plot","sum.visits","bumblebees","hoverflies","other.flies","ref.id","acmi","anlu","assu","caly","cami","capl","clsi","copa","frca","gatr","glma","grass","juba","plmc","plmr","poan","sili","trma","trwo","pc1","pc2","pc3","pc4"
"1","1-Aug-17",2017,3,6,"A",8,0,2,6,"1-Aug-17_2017_3_6_A",1,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.827654454842968,1.24407333257074,0.384719999471142,-0.210493494177007
"2","1-Aug-17",2017,3,6,"B",3,0,0,3,"1-Aug-17_2017_3_6_B",8,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1.33964018861729,-0.428667475947013,1.00023545293809,-1.06881322793364
"3","1-Aug-17",2017,3,6,"C",0,0,0,0,"1-Aug-17_2017_3_6_C",6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1.14968511540992,-0.004046494498276,0.885966389783106,-0.794467548854391
"4","1-Aug-17",2017,3,6,"D",2,0,0,1,"1-Aug-17_2017_3_6_D",1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1.09471779528405,-0.413166165395828,0.63029148364612,0.128142739856571
"5","1-Aug-17",2017,3,15,"A",0,0,0,0,"1-Aug-17_2017_3_15_A",1,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1.0995271642329,-0.369940583333867,-0.349431831159144,-0.151455242212428
"6","1-Aug-17",2017,3,15,"B",0,0,0,0,"1-Aug-17_2017_3_15_B",0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.712224497640696,0.431144513501217,-0.873046431868224,0.464804011846636
"7","1-Aug-17",2017,3,15,"C",9,9,0,0,"1-Aug-17_2017_3_15_C",0,0,0,0,18,0,0,2,0,0,0,10,0,0,0,0,0,0,0,1.11530172839821,-0.512725689924255,-2.15778346245121,-0.171079306277259
"8","1-Aug-17",2017,3,15,"D",0,0,0,0,"1-Aug-17_2017_3_15_D",1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1.07775187830268,-0.335282042740216,0.00367016047551188,-0.0393193909939134
"9","1-Aug-17",2017,3,16,"A",3,0,0,0,"1-Aug-17_2017_3_16_A",0,0,3,0,4,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1.2945894850305,-0.44270280253782,-1.00090894151555,-0.290575558956209
"10","1-Aug-17",2017,3,16,"B",0,0,0,0,"1-Aug-17_2017_3_16_B",0,0,1,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0.796590113077951,0.655695591377422,-0.341891408590347,0.335608510390511
"11","1-Aug-17",2017,3,16,"C",0,0,0,0,"1-Aug-17_2017_3_16_C",0,0,3,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1.10127848817151,0.131250224125014,-1.36734132486714,-0.277471945912634
"12","1-Aug-17",2017,3,16,"D",0,0,0,0,"1-Aug-17_2017_3_16_D",3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.494291053925211,2.1630432996115,-0.180465660362924,-0.499677581835394
"13","1-Aug-17",2017,3,17,"A",0,0,0,0,"1-Aug-17_2017_3_17_A",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.761424295399824,0.19707766330654,0.377161275371893,0.786100146769861
"14","1-Aug-17",2017,3,17,"B",0,0,0,0,"1-Aug-17_2017_3_17_B",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0.910865012615555,-0.179572831377261,0.470090387254224,0.724902374394693
"15","1-Aug-17",2017,3,17,"C",0,0,0,0,"1-Aug-17_2017_3_17_C",1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0.816352219021741,0.394360466678768,0.555331201226922,0.273702566591842
"16","1-Aug-17",2017,3,17,"D",0,0,0,0,"1-Aug-17_2017_3_17_D",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0.575833962846801,0.775706513353544,0.35373306975323,0.893159971219186
"17","1-Aug-17",2017,3,18,"A",0,0,0,0,"1-Aug-17_2017_3_18_A",4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,1.01282486869016,0.291940359319192,0.825543307188334,-0.468669336314714
"18","1-Aug-17",2017,3,18,"B",0,0,0,0,"1-Aug-17_2017_3_18_B",1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0.902690119327985,0.116982983200135,0.559430904160661,0.221601742954341
"19","1-Aug-17",2017,3,18,"C",0,0,0,0,"1-Aug-17_2017_3_18_C",2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1.03446695467784,-0.0699876978098854,0.683118840287052,-0.133288313352125
"20","1-Aug-17",2017,3,18,"D",0,0,0,0,"1-Aug-17_2017_3_18_D",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0.566315373572534,0.784595685210028,0.335285060993118,0.892827401891574
"21","1-Aug-17",2017,3,19,"A",1,0,1,0,"1-Aug-17_2017_3_19_A",7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.0912026767048,0.224871746514808,0.891317041468809,-0.860177273279078
"22","1-Aug-17",2017,3,19,"B",0,0,0,0,"1-Aug-17_2017_3_19_B",3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.894336361868052,0.463500987995527,0.689737190602633,-0.267755472545577
"23","1-Aug-17",2017,3,19,"C",0,0,0,0,"1-Aug-17_2017_3_19_C",20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1.33120835725001,-0.010161089467509,1.16013897859028,-1.66789359071242
