date,year,pheno.period,pollinator,block,plot,acmi,anlu,assu,caly,cami,capl,clsi,copa,frca,gatr,glma,grass,juba,madi,oesa,plmc,plmr,poan,sili,trar,trma,trwo
10-Jun-17,2017,1,n,1,A,0,0,0,0,0,4,0,0,0,0,0,0,50,0,0,12,0,2,0,0,0,0
10-Jun-17,2017,1,n,1,B,0,0,0,0,0,9,0,0,0,0,0,0,40,0,0,7,0,0,0,0,0,0
10-Jun-17,2017,1,n,1,C,0,0,0,0,0,8,0,0,0,0,0,0,30,0,0,25,1,0,0,0,0,0
10-Jun-17,2017,1,n,1,D,0,0,0,0,2,0,0,0,0,0,0,0,30,0,0,5,0,1,0,0,0,0
10-Jun-17,2017,1,n,2,A,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,11,0,0,0,0,0,0
10-Jun-17,2017,1,n,2,B,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0
10-Jun-17,2017,1,n,2,C,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,17,2,5,0,0,0,0
10-Jun-17,2017,1,n,2,D,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,9,0,0,0,0,0,0
10-Jun-17,2017,1,n,3,A,0,0,0,0,0,18,0,0,0,0,0,0,30,0,0,6,0,1,0,0,0,0
10-Jun-17,2017,1,n,3,B,0,0,0,0,0,14,0,0,0,0,0,0,30,0,0,6,0,0,0,0,0,0
10-Jun-17,2017,1,n,3,C,0,0,0,0,0,30,0,0,0,0,0,0,50,0,0,2,0,0,0,0,0,0
10-Jun-17,2017,1,n,3,D,0,0,0,0,0,15,0,0,0,0,0,0,30,0,0,12,1,0,0,0,0,0
10-Jun-17,2017,1,n,4,A,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,25,1,3,0,0,0,0
10-Jun-17,2017,1,n,4,B,0,0,0,0,0,3,0,0,0,0,0,0,40,0,0,19,1,9,0,0,0,0
10-Jun-17,2017,1,n,4,C,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,21,0,5,0,0,0,0
